date,daily_sales,rolling_7day_avg
2013-01-01,2511.62,2511.62
2013-01-02,496092.42,249302.02
2013-01-03,361461.23,286688.42
2013-01-04,354459.68,303631.24
2013-01-05,477350.12,338375.01
2013-01-06,519695.40,368595.08
2013-01-07,336122.80,363956.18
2013-01-08,318347.78,409075.63
2013-01-09,302530.81,381423.97
2013-01-10,258982.00,366784.08
2013-01-11,289737.69,357538.09
2013-01-12,403258.21,346953.53
2013-01-13,464638.55,339088.26
2013-01-14,293348.36,332977.63
2013-01-15,299129.55,330232.17
2013-01-16,318347.91,332491.75
2013-01-17,267498.52,333708.40
2013-01-18,296130.85,334621.71
2013-01-19,432459.85,338793.37
2013-01-20,461092.39,338286.78
2013-01-21,311211.27,340838.62
2013-01-22,296214.73,340422.22
2013-01-23,283258.45,335409.44
2013-01-24,247245.69,332516.18
2013-01-25,290022.77,331643.59
2013-01-26,413799.77,328977.87
2013-01-27,430411.99,324594.95
2013-01-28,285460.17,320916.22
2013-01-29,264488.82,316383.95
2013-01-30,281061.13,316070.05
2013-01-31,271254.22,319499.84
2013-02-01,369402.06,330839.74
2013-02-02,518887.46,345852.26
2013-02-03,486336.82,353841.52
2013-02-04,344308.72,362248.46
2013-02-05,321245.84,370356.61
2013-02-06,321538.18,376139.04
2013-02-07,290807.53,378932.37
2013-02-08,347441.79,375795.19
2013-02-09,416176.28,361122.16
2013-02-10,300951.33,334638.52
2013-02-11,278627.59,325255.50
2013-02-12,308800.79,323477.64
2013-02-13,319597.93,323200.46
2013-02-14,308164.02,325679.96
2013-02-15,320168.88,321783.83
2013-02-16,485660.49,331710.15
2013-02-17,399588.91,345801.23
2013-02-18,350745.57,356103.80
2013-02-19,293637.80,353937.66
2013-02-20,313803.16,353109.83
2013-02-21,267711.11,347330.85
2013-02-22,285679.87,342403.85
2013-02-23,412897.35,332009.11
2013-02-24,452726.13,339600.14
2013-02-25,307110.88,333366.61
2013-02-26,270425.01,330050.50
2013-02-27,288402.00,326421.76
2013-02-28,278116.29,327908.22
2013-03-01,378898.17,341225.12
2013-03-02,547857.21,360505.10
2013-03-03,559820.58,375804.30
2013-03-04,383647.68,386738.13
2013-03-05,332189.99,395561.70
2013-03-06,335726.58,402322.36
2013-03-07,293099.53,404462.82
2013-03-08,316600.68,395563.18
2013-03-09,453259.50,382049.22
2013-03-10,461859.76,368054.82
2013-03-11,318379.13,358730.74
2013-03-12,271823.38,350106.94
2013-03-13,287869.66,343270.23
2013-03-14,247541.42,336761.93
2013-03-15,315878.09,336658.71
2013-03-16,482233.43,340797.84
2013-03-17,513439.59,348166.39
2013-03-18,330283.80,349867.05
2013-03-19,294020.25,353038.03
2013-03-20,321207.01,357800.51
2013-03-21,269130.13,360884.61
2013-03-22,304100.45,359202.09
2013-03-23,453192.00,355053.32
2013-03-24,449794.64,345961.18
2013-03-25,317559.61,344143.44
2013-03-26,275818.24,341543.15
2013-03-27,313691.15,340469.46
2013-03-28,339293.27,350492.77
2013-03-29,345513.13,356408.86
2013-03-30,452661.36,356333.06
2013-03-31,462107.64,358092.06
2013-04-01,428816.45,373985.89
2013-04-02,377732.83,388545.12
2013-04-03,373731.08,397122.25
2013-04-04,308738.39,392757.27
2013-04-05,336394.78,391454.65
2013-04-06,509424.21,399563.62
2013-04-07,519048.38,407698.02
2013-04-08,346649.82,395959.93
2013-04-09,306335.80,385760.35
2013-04-10,312846.38,377062.54
2013-04-11,303223.41,376274.68
2013-04-12,314394.97,373131.85
2013-04-13,453442.50,365134.46
2013-04-14,478417.15,359330.00
2013-04-15,338712.46,358196.09
